TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41045970400,Oregon,Malheur County,4567,2298,2269,52.2,45.5,0.6,0.1,0.6,0.0,2982,29715.0,6004.0,15249.0,2230.0,38.3,61.1,14.2,33.4,18.0,16.0,18.3,82.5,13.1,0.5,0.7,0.0,3.1,19.3,1849,81.4,16.0,2.5,0.0,12.5
41045970500,Oregon,Malheur County,5026,2598,2428,49.9,48.1,0.1,0.0,1.2,0.0,2812,46348.0,7925.0,17256.0,1579.0,22.1,26.6,25.0,16.1,17.7,15.7,25.5,67.9,18.4,0.6,7.0,1.9,4.1,22.6,1862,79.6,13.1,7.3,0.0,12.3
41045970600,Oregon,Malheur County,4188,2140,2048,16.3,81.7,0.0,0.2,1.1,0.0,2965,39950.0,8003.0,20593.0,2503.0,19.8,32.8,33.2,18.9,19.8,15.1,13.0,76.9,10.0,0.2,3.5,3.4,6.0,18.9,1702,55.6,29.9,14.5,0.0,7.6
41045970700,Oregon,Malheur County,1777,933,844,20.0,71.8,0.0,4.4,1.7,0.3,1087,40147.0,5263.0,19240.0,2377.0,20.8,33.9,30.7,11.4,20.8,21.0,16.2,70.7,9.6,0.0,3.8,2.2,13.8,23.0,649,64.7,18.0,15.4,1.8,5.4
41045970900,Oregon,Malheur County,5822,4367,1455,15.8,73.4,3.5,1.5,1.7,0.1,4792,46786.0,7992.0,13082.0,1586.0,16.1,13.8,39.8,14.7,13.6,22.4,9.4,67.3,5.4,0.1,7.8,3.3,16.1,23.3,1268,64.4,19.6,15.2,0.8,6.6
41047000200,Oregon,Marion County,3444,1730,1714,7.2,81.0,1.9,0.3,4.9,0.4,3021,41364.0,10993.0,29330.0,6354.0,21.2,22.4,39.3,23.3,26.7,3.4,7.4,52.0,7.2,6.5,25.2,3.5,5.7,14.8,1853,75.9,20.7,2.6,0.8,5.2
41047000300,Oregon,Marion County,4873,2362,2511,26.3,59.6,1.0,0.4,2.8,2.0,3273,33997.0,3347.0,18622.0,2329.0,25.3,35.9,25.8,30.6,24.0,9.1,10.4,64.2,14.7,8.2,4.3,6.3,2.4,19.0,2308,79.2,14.4,6.5,0.0,10.6
41047000400,Oregon,Marion County,5609,2700,2909,44.1,47.2,1.1,0.4,0.0,0.0,3047,32071.0,5478.0,14987.0,1869.0,34.5,42.3,15.8,25.5,20.5,24.1,14.1,65.6,20.7,2.6,5.2,1.6,4.3,23.6,2272,85.1,9.7,5.2,0.0,13.0
41047000501,Oregon,Marion County,3718,1962,1756,43.5,44.8,1.0,0.2,2.1,5.5,2234,44645.0,5979.0,16961.0,2087.0,27.8,46.4,14.9,30.0,25.8,13.9,15.4,76.6,10.0,1.8,3.0,3.6,4.9,21.8,1607,78.6,17.6,3.8,0.0,8.1
41047000502,Oregon,Marion County,5367,2946,2421,42.3,47.5,3.2,1.8,0.0,0.8,2994,30021.0,5386.0,12585.0,1370.0,36.4,36.3,14.6,33.5,14.7,20.5,16.8,61.1,24.3,1.1,4.4,2.8,6.2,24.8,1993,87.8,5.0,7.2,0.0,17.6
41047000600,Oregon,Marion County,4783,2193,2590,15.5,79.6,0.0,0.0,2.5,0.0,3657,46750.0,14656.0,26782.0,4024.0,11.4,10.7,38.3,19.7,25.3,6.1,10.7,65.4,18.4,0.5,5.6,4.4,5.7,18.3,2813,72.4,20.7,6.9,0.0,4.2
41047000701,Oregon,Marion County,9488,6314,3174,34.3,51.4,5.6,1.1,1.4,1.6,6822,34961.0,3627.0,10847.0,1354.0,32.2,45.9,25.1,31.4,18.9,12.6,12.0,73.7,9.7,8.8,3.3,1.5,3.1,20.2,2662,90.5,6.8,2.7,0.0,12.3
41047000900,Oregon,Marion County,6147,2999,3148,15.1,76.7,0.7,0.2,1.9,0.1,4321,40747.0,6536.0,19247.0,4475.0,24.2,15.9,24.3,16.1,26.7,16.5,16.4,68.1,18.6,1.1,8.2,1.2,2.8,19.0,2499,82.6,14.1,3.3,0.0,10.8
41047001000,Oregon,Marion County,4400,2304,2096,32.4,59.0,1.8,0.0,2.5,0.0,2959,35588.0,7021.0,16097.0,1635.0,28.2,37.3,25.3,23.8,23.7,7.7,19.4,78.5,12.9,1.0,5.8,1.8,0.0,20.6,1910,79.3,15.8,4.9,0.0,8.3
41047001100,Oregon,Marion County,4650,2212,2438,7.4,81.5,2.9,1.0,3.3,0.0,3663,51040.0,3867.0,26938.0,2950.0,20.3,34.7,36.1,16.3,32.5,5.5,9.7,72.3,12.0,2.3,6.5,5.0,2.0,17.5,2380,68.6,28.7,2.8,0.0,4.9
